feature,value,shap,abs_shap
Churn Value,1,19.524131846011105,19.524131846011105
Churn Reason_missing,False,0.07400570668692265,0.07400570668692265
Zip Code,90720,-3.0659676186761686e-13,3.0659676186761686e-13
Latitude,33.79499,-4.5366922024614453e-14,4.5366922024614453e-14
Monthly Charges,70.45,-7.011752289898254e-15,7.011752289898254e-15
CLTV,3964,-6.845218836204481e-15,6.845218836204481e-15
Longitude,-118.065591,3.775625645463521e-15,3.775625645463521e-15
Churn Score,76,3.606490106555782e-15,3.606490106555782e-15
Tenure Months,1,-1.0654454749015052e-15,1.0654454749015052e-15
Streaming Movies_Yes,False,-1.2793585635328952e-17,1.2793585635328952e-17
